kdppk,nmppk,jnsppk,nmjnsppk,telpppk,latitude,longitude,nmjlnppk,icon
01060004,Klinik Biddokkes Polda Lampung,,Klinik Pratama,0721-356451,-5.44465956929778,105.26196430492001,JL. WR SOEPRATMAN NO 1,libs/assets/images/rs_merah.png
01060005,Klinik Polresta Bandar Lampung,,Klinik Pratama,0721-234876,-5.42319,105.254,JL. MT HARYONO NO. 15,libs/assets/images/rs_merah.png
0106B008,Klinik Keluarga ,,Klinik Pratama,0721-259335,-5.40241,105.283,JL. PANGERAN ANTASARI NO.137B,libs/assets/images/rs_merah.png
0106B009,Klinik Dira Medika ,,Klinik Pratama,0812-73438788,-5.42609,105.255,JL. AMIR HAMZAH NO. 92/15,libs/assets/images/rs_merah.png
0106B010,Klinik Imam Bonjol ,,Klinik Pratama,62-8976093063,-5.40758,105.254,JL. IMAM BONJOL NO 3 PASIR GIN,libs/assets/images/rs_merah.png
0106B011,Klinik Ardhito Medika,,Klinik Pratama,0811-7213115,-5.3769059382894,105.27405632639,JL. RAJABASA RAYA BLOK T NO.21,libs/assets/images/rs_merah.png
0106B013,Klinik Keluarga Panjang Medika,,Klinik Pratama,0721-273273,-5.46366,105.319,JL. TELUK AMBON,libs/assets/images/rs_merah.png
0106B014,Klinik Mediska Tanjung Karang,,Klinik Pratama,0821-18637494,-5.4092113486249,105.25951049685,JL. KOTARAJA NO. 1,libs/assets/images/rs_merah.png
0106B015,Klinik Gatam Kedaton,,Klinik Pratama,0823-75629360,-5.3792086648016,105.25306571412,JL. Z.A. PAGAR ALAM NO 448 LAB,libs/assets/images/rs_merah.png
0106B017,Klinik BK Lanal Lampung,,Klinik Pratama,0822-69873531,-5.48,105.325,JL. YOS SUDARSO KM 10,libs/assets/images/rs_merah.png
0106B037,Klinik PTPN VII Bandar Lampung,,Klinik Pratama,0721-702233,-5.38533,105.262,JL. TEUKU UMAR NO.300 ,libs/assets/images/rs_merah.png
0106B038,Klinik Telkomedika Health Cent,,Klinik Pratama,0721-704999,-5.37858,105.262,JL. SULTAN HAJI NO.1,libs/assets/images/rs_merah.png
0106B039,Klinik Al Fayyadh,,Klinik Pratama,08127904630,-5.3866,105.244,JL. PAGAR ALAM NO.112 A,libs/assets/images/rs_merah.png
0106B040,Klinik Surya Medika,,Klinik Pratama,081367371114,-5.37763,105.265,JL. SULTAN HAJI GG. MEGA NO.8,libs/assets/images/rs_merah.png
0106B042,Klinik Gemari,,Klinik Pratama,0721-485088,-5.4475365272471,105.2656788294,JL. IKAN BAWAL NO.101 ,libs/assets/images/rs_merah.png
0106B044,Klinik Wede Ar Rachman,,Klinik Pratama,0856-09965896,-5.39265,105.271,JL. DANAU TOBA GANG SABURAI  N,libs/assets/images/rs_merah.png
0106B048,Klinik Kosasih Palapa,,Klinik Pratama,0811-7270562,-5.41656,105.247,JL. CUT NYAK DIEN NO.62,libs/assets/images/rs_merah.png
0106B052,Klinik Sabila  ,,Klinik Pratama,0813-77376996,-5.41882,105.25,JL. CUT NYAK DIEN NO.27,libs/assets/images/rs_merah.png
0106B053,Klinik BRI Medika  ,,Klinik Pratama,07215602820,-5.42494,105.25,JL. RADEN SALEH NO.15,libs/assets/images/rs_merah.png
0106B054,Klinik Raffasya Sentra Medika,,Klinik Pratama,0721-5610490,-5.354,105.291,JL. RATU DIBALAU GANG KENANGA III,libs/assets/images/rs_merah.png
0106B056,Klinik Bimu Medika Muhammadiya,,Klinik Pratama,0721-702466,-5.3830401671063,105.29415690923,SENTOT ALIBASYA NO.1,libs/assets/images/rs_merah.png
0106B057,Klinik Krakatau ,,Klinik Pratama,082176711202,-5.39466,105.223,JL. IMAM BONJOL NO.1000 A-B-C,libs/assets/images/rs_merah.png
0106B058,Klinik Kimia Farma Way Halim  ,,Klinik Pratama,0821-33372814,-5.38715,105.282,JL. ARIF RAHMAN HAKIM PERUM BTN III BLOK TR NO.02 KEL. WAYJHALIM PERMAI KEC. SUKARAME BANDAR LAMPUNG,libs/assets/images/rs_merah.png
0106B061,Klinik Advent Kedaton  ,,Klinik Pratama,08987500777,-5.39142,105.261,JL. KELELAWAR NO.50 ,libs/assets/images/rs_merah.png
0106B062,Klinik Nafaral Medika,,Klinik Pratama,62-89714810,-5.46964,105.323,JL. DEWI NO. 2 DESA PIDADA,libs/assets/images/rs_merah.png
0106B064,Klinik Brimob Polda Lampung,,Klinik Pratama,0721-252772,-5.42057,105.269,JL. K.S.TUBUN NO.38 ,libs/assets/images/rs_merah.png
